Slug,Page_URL,Location_Name,Location_Class,Region,Image_Tier,Image_Filename,Alt_Layer1_Geo,Alt_Layer2_Rendered_Template,Image_License,Image_Attribution,Wikidata_QID,Asset_Status
osborne-village,/areas/winnipeg/osborne-village,Osborne Village,NEIGHBORHOOD,Winnipeg Metro,region,osborne-village-winnipeg-metro-mb.webp,"Osborne Village, Winnipeg Manitoba — the city's densest neighbourhood of heritage walk-ups south of the Assiniboine","{SERVICE_CATEGORY} in Osborne Village, Manitoba — Osborne Village, Winnipeg Manitoba — the city's densest neighbourhood of heritage walk-ups south of the Assiniboine",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},Q652258,PENDING-SOURCE
richmond-west,/areas/winnipeg/richmond-west,Richmond West,NEIGHBORHOOD,Winnipeg Metro,region,richmond-west-winnipeg-metro-mb.webp,"Richmond West, Winnipeg Manitoba — newer south-end family suburb west of Waverley near the University of Manitoba","{SERVICE_CATEGORY} in Richmond West, Manitoba — Richmond West, Winnipeg Manitoba — newer south-end family suburb west of Waverley near the University of Manitoba",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},Q48817824,PENDING-SOURCE
silver-heights,/areas/winnipeg/silver-heights,Silver Heights,NEIGHBORHOOD,Winnipeg Metro,region,silver-heights-winnipeg-metro-mb.webp,"Silver Heights, Winnipeg Manitoba — 1950s postwar St. James streets along Portage Avenue","{SERVICE_CATEGORY} in Silver Heights, Manitoba — Silver Heights, Winnipeg Manitoba — 1950s postwar St. James streets along Portage Avenue",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
st-boniface,/areas/winnipeg/st-boniface,St. Boniface,NEIGHBORHOOD,Winnipeg Metro,region,st-boniface-winnipeg-metro-mb.webp,"St. Boniface, Winnipeg Metro Manitoba — cathedral façade district on the Red River's east bank","{SERVICE_CATEGORY} in St. Boniface, Manitoba — St. Boniface, Winnipeg Metro Manitoba — cathedral façade district on the Red River's east bank",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
st-norbert,/areas/winnipeg/st-norbert,St. Norbert,NEIGHBORHOOD,Winnipeg Metro,region,st-norbert-winnipeg-metro-mb.webp,"St. Norbert, Winnipeg Manitoba — historic francophone district at the La Salle and Red river confluence","{SERVICE_CATEGORY} in St. Norbert, Manitoba — St. Norbert, Winnipeg Manitoba — historic francophone district at the La Salle and Red river confluence",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},Q3463066,PENDING-SOURCE
transcona,/areas/winnipeg/transcona,Transcona,NEIGHBORHOOD,Winnipeg Metro,region,transcona-winnipeg-metro-mb.webp,"Transcona, Winnipeg Manitoba — historic railway-shops district with its own main street in the east end","{SERVICE_CATEGORY} in Transcona, Manitoba — Transcona, Winnipeg Manitoba — historic railway-shops district with its own main street in the east end",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},Q3537412,PENDING-SOURCE
tuxedo,/areas/winnipeg/tuxedo,Tuxedo,NEIGHBORHOOD,Winnipeg Metro,region,tuxedo-winnipeg-metro-mb.webp,"Tuxedo, Winnipeg Manitoba — affluent garden-suburb estate lots beside Assiniboine Park","{SERVICE_CATEGORY} in Tuxedo, Manitoba — Tuxedo, Winnipeg Manitoba — affluent garden-suburb estate lots beside Assiniboine Park",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},Q7857175,PENDING-SOURCE
waverley-heights,/areas/winnipeg/waverley-heights,Waverley Heights,NEIGHBORHOOD,Winnipeg Metro,region,waverley-heights-winnipeg-metro-mb.webp,"Waverley Heights, Winnipeg Manitoba — 1970s south-end family streets near the University of Manitoba","{SERVICE_CATEGORY} in Waverley Heights, Manitoba — Waverley Heights, Winnipeg Manitoba — 1970s south-end family streets near the University of Manitoba",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
west-kildonan,/areas/winnipeg/west-kildonan,West Kildonan,NEIGHBORHOOD,Winnipeg Metro,region,west-kildonan-winnipeg-metro-mb.webp,"West Kildonan, Winnipeg Manitoba — postwar residential streets on the Red River's west bank in the north end","{SERVICE_CATEGORY} in West Kildonan, Manitoba — West Kildonan, Winnipeg Manitoba — postwar residential streets on the Red River's west bank in the north end",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},Q7985621,PENDING-SOURCE
wildwood,/areas/winnipeg/wildwood,Wildwood,NEIGHBORHOOD,Winnipeg Metro,region,wildwood-winnipeg-metro-mb.webp,"Wildwood Park, Winnipeg Manitoba — riverside enclave of homes facing green walkways on the Red River","{SERVICE_CATEGORY} in Wildwood, Manitoba — Wildwood Park, Winnipeg Manitoba — riverside enclave of homes facing green walkways on the Red River",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},Q8001550,PENDING-SOURCE
winnipeg,/areas/winnipeg,Winnipeg,CSD,Winnipeg Metro,region,winnipeg-winnipeg-metro-mb.webp,"Winnipeg, Winnipeg Metro Manitoba — the Red and Assiniboine rivers meeting at The Forks","{SERVICE_CATEGORY} in Winnipeg, Manitoba — Winnipeg, Winnipeg Metro Manitoba — the Red and Assiniboine rivers meeting at The Forks",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
